title,url,agency,location,salary,closing_date,search_term
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/833226300,"Justice, Bureau of Prisons/Federal Prison System","Fort Dix, New Jersey Fort Dix, New Jersey",Not specified,Opening and closing dates Open 03/05/2025 to 03/26/2025,System Administrator
Health System Administrator (CEO),https://www.usajobs.gov/job/769706200,Indian Health Service,"Elko, Nevada Elko, Nevada",Not specified,Opening and closing dates Open 02/28/2025 to 03/14/2025,System Administrator
Health System Administrator (CEO),https://www.usajobs.gov/job/769706300,Indian Health Service,"Elko, Nevada Elko, Nevada",Not specified,Opening and closing dates Open 02/28/2025 to 03/14/2025,System Administrator
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/832997900,"Justice, Bureau of Prisons/Federal Prison System","Seagoville, Texas Seagoville, Texas",Not specified,Opening and closing dates Open 02/28/2025 to 03/21/2025,System Administrator
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/833424100,"Justice, Bureau of Prisons/Federal Prison System","Phoenix, Arizona Phoenix, Arizona",Not specified,Opening and closing dates Open 03/10/2025 to 03/17/2025,System Administrator
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/833438600,"Justice, Bureau of Prisons/Federal Prison System","Big Spring, Texas Big Spring, Texas",Not specified,Opening and closing dates Open 03/10/2025 to 03/31/2025,System Administrator
Programmer/Systems Administrator,https://www.usajobs.gov/job/833121500,U.S. Courts,"Omaha, Nebraska Omaha, Nebraska",Not specified,Opening and closing dates Open 02/28/2025 to 03/30/2025,System Administrator
Health System Administrator (Health Services Administrator),https://www.usajobs.gov/job/833255100,"Justice, Bureau of Prisons/Federal Prison System","Ray Brook, New York Ray Brook, New York",Not specified,Opening and closing dates Open 03/05/2025 to 03/19/2025,System Administrator
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/832608700,"Justice, Bureau of Prisons/Federal Prison System","Butner Federal Correctional Complex, North Carolina Butner Federal Correctional Complex, North Carolina",Not specified,Opening and closing dates Open 02/26/2025 to 03/19/2025,System Administrator
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/833311800,"Justice, Bureau of Prisons/Federal Prison System","Fort Devens, Massachusetts Fort Devens, Massachusetts",Not specified,Opening and closing dates Open 03/06/2025 to 03/20/2025,System Administrator
Assistant Health System Administrator (Assistant Health Services Administrator),https://www.usajobs.gov/job/833379600,"Justice, Bureau of Prisons/Federal Prison System","Federal Medical Center Carswell, Texas Federal Medical Center Carswell, Texas",Not specified,Opening and closing dates Open 03/07/2025 to 03/28/2025,System Administrator
